price,district,metro_name,metro_time,metro_get_type,size,kitchen,floor,floors,constructed,fix,type_of_building,type_of_walls
16400000,р-н Лефортово,Авиамоторная,15,пешком,43,10,14,28,2022,Без ремонта,None,None
4280000,р-н Перово,Андроновка,3,пешком,21,9,3,6,1963,Без ремонта,Кирпичный,None
3330000,р-н Перово,Андроновка,3,пешком,16,9,3,6,1963,Без ремонта,Кирпичный,None
14500000,р-н Лефортово,Авиамоторная,13,пешком,37,11,10,27,2019,None,None,None
13700000,р-н Лефортово,Авиамоторная,15,пешком,31,11,17,28,1997,Косметический,Монолитный,None
13700000,р-н Лефортово,Авиамоторная,15,пешком,32,11,15,28,1997,Косметический,Монолитный,None
20460000,р-н Лефортово,Авиамоторная,3,транспорт,44,14,7,16,2019,Косметический,Монолитный,Железобетонные
13800000,р-н Лефортово,Авиамоторная,20,пешком,36,13,6,28,1997,Без ремонта,None,None
5350000,р-н Перово,Андроновка,3,пешком,32,9,5,5,1997,None,None,None
4280000,р-н Перово,Андроновка,3,пешком,21,9,3,6,1963,Без ремонта,Кирпичный,None
13900000,р-н Лефортово,Лефортово,1,пешком,37,8,6,17,1988,Косметический,Панельный,Железобетонные
3950000,Томилино рп,Выхино,25,транспорт,31,6,2,3,1997,Косметический,Кирпичный,Железобетонные
16200000,р-н Лефортово,Авиамоторная,8,пешком,35,9,6,23,2018,Дизайнерский,Монолитный,None
4250000,р-н Нижегородский,Калитники,20,пешком,13,3,2,4,1997,None,None,None
6500000,р-н Соколиная гора,Авиамоторная,15,пешком,13,3,3,5,1962,Косметический,Кирпичный,Железобетонные
5090000,р-н Перово,Андроновка,1,пешком,24,9,5,6,1967,None,None,None
17450000,р-н Лефортово,Авиамоторная,20,пешком,38,10,8,28,2022,None,None,None
14300000,р-н Лефортово,Авиамоторная,10,пешком,36,13,9,28,2021,Без ремонта,None,None
14300000,р-н Лефортово,Авиамоторная,10,пешком,36,15,8,28,1997,Без ремонта,None,None
10999000,р-н Лефортово,Лефортово,6,пешком,30,6,4,5,1962,None,Кирпичный,Железобетонные
5000000,р-н Перово,Андроновка,3,пешком,24,3,4,6,1963,None,Блочный,None
5400000,р-н Перово,Андроновка,4,пешком,24,2,4,5,1963,None,None,None
17300000,р-н Лефортово,Авиамоторная,9,пешком,36,16,1,23,2018,Евроремонт,Монолитный,None
12900000,р-н Лефортово,Авиамоторная,12,пешком,32,9,6,10,2021,None,None,None
3800000,р-н Нижегородский,Авиамоторная,16,пешком,12,9,3,4,1997,Евроремонт,None,None
4540000,р-н Перово,Андроновка,3,пешком,22,9,3,6,1963,Без ремонта,Кирпичный,None
16500000,р-н Лефортово,Авиамоторная,12,пешком,49,21,7,28,2021,Без ремонта,None,None
14000000,р-н Лефортово,Площадь Ильича,15,пешком,33,9,12,17,2019,Без ремонта,Монолитный,Железобетонные
6500000,р-н Лефортово,Лефортово,7,пешком,23,5,1,5,1958,Косметический,Кирпичный,Железобетонные
12200000,р-н Лефортово,Авиамоторная,5,пешком,32,5,5,9,1963,Евроремонт,Блочный,Железобетонные
11900000,р-н Лефортово,Авиамоторная,14,пешком,32,9,10,11,2022,None,None,None
3630000,р-н Перово,Авиамоторная,15,пешком,22,7,1,4,1997,None,None,None
10000000,р-н Лефортово,Лефортово,7,пешком,34,9,12,16,1985,Косметический,Панельный,Железобетонные
3630000,р-н Перово,Авиамоторная,15,пешком,22,7,1,4,1997,None,None,None
9500000,р-н Лефортово,Лефортово,8,пешком,32,5,5,9,1966,Косметический,None,Железобетонные
5890000,р-н Перово,Андроновка,3,пешком,31,3,5,5,1963,None,Блочный,None
5860000,р-н Перово,Андроновка,3,пешком,30,3,5,5,1963,Без ремонта,Блочный,None
20665000,р-н Лефортово,Авиамоторная,10,пешком,45,22,8,23,2019,None,Монолитный,None
16750000,р-н Лефортово,Лефортово,3,пешком,43,14,8,18,2021,Без ремонта,None,None
13200000,р-н Лефортово,Авиамоторная,13,пешком,32,10,6,10,2021,None,None,None
9200000,р-н Соколиная гора,Шоссе Энтузиастов,15,пешком,35,10,2,12,1967,None,Блочный,Железобетонные
14900000,р-н Лефортово,Лефортово,6,пешком,41,10,7,24,2022,Косметический,None,None
15200000,р-н Лефортово,Лефортово,3,пешком,43,14,3,18,2021,None,None,None
9000000,р-н Лефортово,Лефортово,9,пешком,37,8,17,23,1997,Без ремонта,Монолитный,Железобетонные
9850000,р-н Лефортово,Лефортово,5,пешком,33,6,9,9,1970,Косметический,Монолитный,Железобетонные
11750000,р-н Лефортово,Авиамоторная,18,пешком,27,5,4,20,1997,Без ремонта,None,None
4400000,р-н Нижегородский,Авиамоторная,18,пешком,16,3,3,4,2021,None,Кирпичный,None
5740000,р-н Нижегородский,Авиамоторная,17,пешком,14,3,7,10,1975,None,Монолитный,None
10000000,р-н Лефортово,Авиамоторная,8,пешком,28,4,12,23,2018,Без ремонта,Монолитный,None
7100000,р-н Нижегородский,Авиамоторная,17,пешком,20,3,4,10,1975,None,Монолитный,None
6200000,р-н Нижегородский,Авиамоторная,16,пешком,14,2,8,10,2021,Дизайнерский,Монолитный,None
11099000,р-н Лефортово,Авиамоторная,12,пешком,25,9,5,28,2022,None,None,None
14750000,р-н Лефортово,Авиамоторная,16,пешком,37,13,14,28,2021,None,None,None
10600000,р-н Лефортово,Авиамоторная,18,пешком,35,9,6,12,1972,Евроремонт,Блочный,Железобетонные
15450000,р-н Лефортово,Авиамоторная,17,пешком,37,13,14,28,1997,Без ремонта,None,None
7100000,р-н Нижегородский,Калитники,15,пешком,21,5,10,10,2021,Дизайнерский,Монолитный,None
22500000,р-н Лефортово,Авиамоторная,12,пешком,44,9,8,16,2019,Дизайнерский,Монолитный,Железобетонные
10000000,р-н Соколиная гора,Шоссе Энтузиастов,11,пешком,32,12,1,9,1956,None,Кирпичный,Железобетонные
6350000,р-н Нижегородский,Нижегородская,10,пешком,15,3,3,5,1975,None,None,None
5277750,р-н Перово,Андроновка,3,пешком,22,9,3,5,1963,Без ремонта,None,None
4800000,р-н Перово,Андроновка,3,пешком,19,9,4,6,1997,Косметический,Кирпичный,None
6790000,р-н Нижегородский,Авиамоторная,14,пешком,22,3,2,4,1970,None,None,None
5200000,р-н Нижегородский,Авиамоторная,17,пешком,15,3,6,10,1975,None,Монолитный,None
5150000,р-н Перово,Андроновка,4,пешком,14,2,5,5,1963,None,Кирпичный,None
17500000,р-н Лефортово,Римская,29,пешком,40,18,23,27,1997,None,None,None
20100000,р-н Лефортово,Авиамоторная,7,пешком,44,22,20,23,1997,Евроремонт,Монолитный,None
17300000,р-н Лефортово,Лефортово,3,пешком,38,10,15,18,2022,Дизайнерский,None,None
15500000,р-н Лефортово,Лефортово,2,пешком,36,7,10,17,1988,Дизайнерский,Панельный,Железобетонные
15700000,р-н Лефортово,Авиамоторная,5,пешком,36,9,7,23,2018,Дизайнерский,Монолитный,None
12500000,р-н Лефортово,Авиамоторная,13,пешком,27,6,20,21,1997,Без ремонта,Монолитно кирпичный,None
5000000,р-н Западный,Комсомольская,45,транспорт,36,7,5,9,1970,Евроремонт,Панельный,Железобетонные
31500000,р-н Лефортово,Авиамоторная,15,пешком,65,17,4,16,1997,Дизайнерский,Монолитный,Железобетонные
18700000,р-н Лефортово,Авиамоторная,20,пешком,37,10,9,13,2021,None,None,None
17000000,р-н Лефортово,Авиамоторная,17,пешком,37,13,18,28,1997,Без ремонта,None,None
15200000,р-н Лефортово,Авиамоторная,12,пешком,39,14,4,17,1997,None,Панельный,Железобетонные
15500000,р-н Лефортово,Лефортово,1,пешком,37,7,10,17,1988,None,Панельный,Железобетонные
14286000,р-н Лефортово,Авиамоторная,19,пешком,36,13,14,28,2022,None,None,None
13500000,р-н Лефортово,Авиамоторная,13,пешком,32,11,6,28,2021,Без ремонта,None,None
10975000,р-н Лефортово,Площадь Ильича,25,пешком,35,8,5,14,1977,None,None,None
16800000,р-н Лефортово,Авиамоторная,13,пешком,43,18,7,28,2021,Без ремонта,None,None
14300000,р-н Лефортово,Москва-Товарная,30,пешком,36,13,5,28,1997,Без ремонта,None,None
11000000,р-н Лефортово,Лефортово,4,пешком,30,6,4,5,1997,None,Кирпичный,Железобетонные
10999000,р-н Лефортово,Лефортово,6,пешком,30,5,4,5,1962,None,None,None
6500000,р-н Перово,Андроновка,3,пешком,22,9,1,6,1997,Евроремонт,Кирпичный,None
6200000,р-н Нижегородский,Авиамоторная,19,пешком,15,4,8,10,1975,None,Монолитный,None
4980000,р-н Перово,Андроновка,4,пешком,25,3,5,5,1963,None,Блочный,None
4500000,р-н Перово,Андроновка,12,пешком,16,3,4,6,1963,None,Блочный,None
4975500,р-н Перово,Андроновка,3,пешком,21,9,3,6,1997,None,None,None
4750000,р-н Перово,Андроновка,3,пешком,15,9,4,6,1997,Евроремонт,Кирпичный,None
11400000,р-н Лефортово,Лефортово,7,пешком,31,6,3,5,1960,Дизайнерский,Кирпичный,Железобетонные
14000000,р-н Лефортово,Лефортово,2,пешком,38,8,9,17,1988,Косметический,Панельный,Железобетонные
21600000,р-н Лефортово,Площадь Ильича,22,пешком,46,15,12,23,2019,None,None,None
13790000,р-н Лефортово,Авиамоторная,14,пешком,32,9,12,28,2021,None,None,None
16000000,р-н Лефортово,Авиамоторная,7,пешком,35,10,3,23,2020,Косметический,None,None
18000000,р-н Лефортово,Авиамоторная,15,пешком,37,10,13,27,2019,Дизайнерский,Монолитный,Железобетонные
7500000,р-н Лефортово,Лефортово,7,пешком,33,9,1,5,1958,Косметический,Кирпичный,Железобетонные
23900000,р-н Лефортово,Авиамоторная,10,пешком,42,10,15,16,2019,Дизайнерский,Монолитный,Железобетонные
12999990,р-н Лефортово,Лефортово,2,пешком,38,8,3,17,1988,Евроремонт,Панельный,Железобетонные
6600000,р-н Нижегородский,Авиамоторная,13,пешком,25,5,1,3,1997,Дизайнерский,Кирпичный,None
18300000,р-н Лефортово,Авиамоторная,12,пешком,37,10,14,27,2019,Без ремонта,Монолитный,Железобетонные
5800000,мкр. Центр,Выхино,35,транспорт,34,7,6,12,1976,Косметический,Панельный,Железобетонные
16500000,р-н Лефортово,Авиамоторная,15,пешком,37,9,21,23,2019,Без ремонта,Монолитный,Железобетонные
11300000,р-н Лефортово,Авиамоторная,5,пешком,30,5,1,5,1961,None,None,None
7590000,р-н Соколиная гора,Соколиная гора,15,пешком,18,9,4,5,1961,None,None,None
12800000,р-н Лефортово,Авиамоторная,7,пешком,27,6,12,20,2022,Без ремонта,Монолитный,None
7900000,р-н Залинейный,Косино,35,транспорт,52,11,2,17,2016,Евроремонт,Монолитный,Железобетонные
15500000,р-н Лефортово,Авиамоторная,3,пешком,38,7,7,17,2000,None,None,None
17900000,р-н Лефортово,Авиамоторная,15,пешком,34,9,4,16,2019,Дизайнерский,Монолитный,Железобетонные
11100000,р-н Лефортово,Лефортово,3,пешком,30,5,4,5,1960,Косметический,Кирпичный,Железобетонные
22900000,р-н Лефортово,Авиамоторная,10,пешком,42,9,15,16,2019,Дизайнерский,Монолитный,Железобетонные
13900000,р-н Лефортово,Авиамоторная,2,пешком,40,8,8,17,2000,Евроремонт,Монолитный,Железобетонные
10500000,р-н Соколиная гора,Шоссе Энтузиастов,15,пешком,40,10,1,16,1993,Евроремонт,Блочный,Железобетонные
14290000,р-н Лефортово,Авиамоторная,12,пешком,37,13,14,28,2021,None,None,None
22000000,р-н Лефортово,Лефортово,2,пешком,40,12,16,17,2016,Дизайнерский,Монолитный,Железобетонные
10400000,р-н Лефортово,Лефортово,5,пешком,30,9,3,5,1997,Дизайнерский,None,Железобетонные
16850000,р-н Лефортово,Авиамоторная,9,пешком,37,9,3,23,2018,None,None,None
10800000,р-н Лефортово,Лефортово,10,пешком,35,9,1,12,1972,Косметический,None,Железобетонные
15000000,р-н Лефортово,Авиамоторная,4,пешком,40,9,2,7,1939,Евроремонт,None,Железобетонные
7950000,р-н Нижегородский,Калитники,15,пешком,23,9,2,4,1997,None,None,None
15700000,р-н Лефортово,Авиамоторная,15,пешком,45,11,8,20,2022,Без ремонта,None,None
14700000,р-н Лефортово,Авиамоторная,10,пешком,35,9,8,27,2022,Без ремонта,None,None
11500000,р-н Лефортово,Лефортово,7,пешком,34,9,14,16,1986,Косметический,None,Железобетонные
15500000,р-н Лефортово,Авиамоторная,4,пешком,42,9,5,7,1939,Евроремонт,None,Железобетонные
14500000,р-н Лефортово,Москва-Товарная,19,пешком,32,9,13,28,2021,Дизайнерский,None,None
14200000,р-н Лефортово,Площадь Ильича,23,пешком,32,9,12,28,1997,Без ремонта,Монолитный,None
13950000,р-н Лефортово,Авиамоторная,7,пешком,35,10,7,16,1979,Евроремонт,Кирпичный,Железобетонные
8970000,р-н Соколиная гора,Соколиная гора,16,пешком,35,10,1,12,1965,Косметический,Блочный,Железобетонные
3900000,р-н Нижегородский,Авиамоторная,16,пешком,11,1,1,4,1997,Евроремонт,None,None
13500000,р-н Лефортово,Лефортово,6,пешком,35,9,4,9,1975,None,None,None
12500000,р-н Лефортово,Лефортово,6,пешком,35,9,7,9,1975,None,None,None
14000000,р-н Лефортово,Лефортово,1,пешком,38,8,4,17,1988,Евроремонт,Панельный,Железобетонные
7500000,р-н Лефортово,Лефортово,7,пешком,33,9,1,5,1958,Евроремонт,Кирпичный,Железобетонные
8770000,Опалиха микрорайон,Аникеевка,1,пешком,41,9,3,4,1997,Дизайнерский,None,None
7700000,р-н Митино,Митино,7,пешком,29,5,22,25,2017,Дизайнерский,Монолитный,None
10950000,мкр. Павшинская пойма,Волоколамская,18,пешком,37,11,24,25,2015,Евроремонт,Панельный,Железобетонные
4800000,Рождествено село,Волоколамская,30,транспорт,47,9,10,10,2013,Косметический,Монолитный,Железобетонные
7000000,мкр. СГШ,Митино,8,транспорт,22,9,15,29,2019,Евроремонт,None,None
7700000,р-н Митино,Митино,7,пешком,29,5,16,25,2017,Дизайнерский,Монолитный,None
13350000,р-н Митино,Волоколамская,10,пешком,47,10,20,25,2007,Косметический,Монолитный,Железобетонные
10000000,мкр. Павшино,Мякинино,10,транспорт,42,5,29,44,2014,Дизайнерский,Монолитный,Железобетонные
15950000,р-н Лефортово,Москва-Товарная,16,пешком,31,9,8,28,1997,Дизайнерский,None,None
9999999,мкр. Павшинская пойма,Мякинино,15,пешком,41,9,15,25,2014,Евроремонт,Монолитный,Железобетонные
9790000,р-н Митино,Пятницкое шоссе,6,транспорт,40,11,7,24,2022,Косметический,Монолитный,None
10500000,мкр. Павшинская пойма,Пенягино,15,пешком,41,9,10,17,2012,Дизайнерский,Монолитный,Железобетонные
11800000,мкр. Павшинская пойма,Мякинино,20,пешком,41,12,19,21,2021,Евроремонт,Кирпичный,None
7700000,р-н Митино,Митино,7,пешком,29,5,22,25,2017,Дизайнерский,Монолитный,None
9000000,р-н Митино,Митино,15,пешком,38,10,2,25,2020,Косметический,None,None
9500000,мкр. Павшинская пойма,Мякинино,15,пешком,43,11,21,25,2013,None,None,None
10450000,мкр. Павшинская пойма,Мякинино,16,пешком,41,11,8,19,1997,Евроремонт,None,None
10800000,р-н Митино,Митино,6,пешком,40,8,8,14,1992,None,None,None
9700000,мкр. Павшинская пойма,Мякинино,16,пешком,41,10,16,19,1997,None,None,None
