price,district,metro_name,metro_time,metro_get_type,size,kitchen,floor,floors,constructed,fix,type_of_building,type_of_walls
16400000,1,1,15,1,43,10,14,28,2022,1,1,1
4280000,2,2,3,1,21,9,3,6,1963,1,2,1
3330000,2,2,3,1,16,9,3,6,1963,1,2,1
14500000,1,1,13,1,37,11,10,27,2019,2,1,1
13700000,1,1,15,1,31,11,17,28,1997,3,3,1
13700000,1,1,15,1,32,11,15,28,1997,3,3,1
20460000,1,1,3,2,44,14,7,16,2019,3,3,2
13800000,1,1,20,1,36,13,6,28,1997,1,1,1
5350000,2,2,3,1,32,9,5,5,1997,2,1,1
4280000,2,2,3,1,21,9,3,6,1963,1,2,1
13900000,1,3,1,1,37,8,6,17,1988,3,4,2
3950000,3,4,25,2,31,6,2,3,1997,3,2,2
16200000,1,1,8,1,35,9,6,23,2018,4,3,1
4250000,4,5,20,1,13,3,2,4,1997,2,1,1
6500000,5,1,15,1,13,3,3,5,1962,3,2,2
5090000,2,2,1,1,24,9,5,6,1967,2,1,1
17450000,1,1,20,1,38,10,8,28,2022,2,1,1
14300000,1,1,10,1,36,13,9,28,2021,1,1,1
14300000,1,1,10,1,36,15,8,28,1997,1,1,1
10999000,1,3,6,1,30,6,4,5,1962,2,2,2
5000000,2,2,3,1,24,3,4,6,1963,2,5,1
5400000,2,2,4,1,24,2,4,5,1963,2,1,1
17300000,1,1,9,1,36,16,1,23,2018,5,3,1
12900000,1,1,12,1,32,9,6,10,2021,2,1,1
3800000,4,1,16,1,12,9,3,4,1997,5,1,1
4540000,2,2,3,1,22,9,3,6,1963,1,2,1
16500000,1,1,12,1,49,21,7,28,2021,1,1,1
14000000,1,6,15,1,33,9,12,17,2019,1,3,2
6500000,1,3,7,1,23,5,1,5,1958,3,2,2
12200000,1,1,5,1,32,5,5,9,1963,5,5,2
11900000,1,1,14,1,32,9,10,11,2022,2,1,1
3630000,2,1,15,1,22,7,1,4,1997,2,1,1
10000000,1,3,7,1,34,9,12,16,1985,3,4,2
3630000,2,1,15,1,22,7,1,4,1997,2,1,1
9500000,1,3,8,1,32,5,5,9,1966,3,1,2
5890000,2,2,3,1,31,3,5,5,1963,2,5,1
5860000,2,2,3,1,30,3,5,5,1963,1,5,1
20665000,1,1,10,1,45,22,8,23,2019,2,3,1
16750000,1,3,3,1,43,14,8,18,2021,1,1,1
13200000,1,1,13,1,32,10,6,10,2021,2,1,1
9200000,5,7,15,1,35,10,2,12,1967,2,5,2
14900000,1,3,6,1,41,10,7,24,2022,3,1,1
15200000,1,3,3,1,43,14,3,18,2021,2,1,1
9000000,1,3,9,1,37,8,17,23,1997,1,3,2
9850000,1,3,5,1,33,6,9,9,1970,3,3,2
11750000,1,1,18,1,27,5,4,20,1997,1,1,1
4400000,4,1,18,1,16,3,3,4,2021,2,2,1
5740000,4,1,17,1,14,3,7,10,1975,2,3,1
10000000,1,1,8,1,28,4,12,23,2018,1,3,1
7100000,4,1,17,1,20,3,4,10,1975,2,3,1
6200000,4,1,16,1,14,2,8,10,2021,4,3,1
11099000,1,1,12,1,25,9,5,28,2022,2,1,1
14750000,1,1,16,1,37,13,14,28,2021,2,1,1
10600000,1,1,18,1,35,9,6,12,1972,5,5,2
15450000,1,1,17,1,37,13,14,28,1997,1,1,1
7100000,4,5,15,1,21,5,10,10,2021,4,3,1
22500000,1,1,12,1,44,9,8,16,2019,4,3,2
10000000,5,7,11,1,32,12,1,9,1956,2,2,2
6350000,4,8,10,1,15,3,3,5,1975,2,1,1
5277750,2,2,3,1,22,9,3,5,1963,1,1,1
4800000,2,2,3,1,19,9,4,6,1997,3,2,1
6790000,4,1,14,1,22,3,2,4,1970,2,1,1
5200000,4,1,17,1,15,3,6,10,1975,2,3,1
5150000,2,2,4,1,14,2,5,5,1963,2,2,1
17500000,1,9,29,1,40,18,23,27,1997,2,1,1
20100000,1,1,7,1,44,22,20,23,1997,5,3,1
17300000,1,3,3,1,38,10,15,18,2022,4,1,1
15500000,1,3,2,1,36,7,10,17,1988,4,4,2
15700000,1,1,5,1,36,9,7,23,2018,4,3,1
12500000,1,1,13,1,27,6,20,21,1997,1,6,1
5000000,6,10,45,2,36,7,5,9,1970,5,4,2
31500000,1,1,15,1,65,17,4,16,1997,4,3,2
18700000,1,1,20,1,37,10,9,13,2021,2,1,1
17000000,1,1,17,1,37,13,18,28,1997,1,1,1
15200000,1,1,12,1,39,14,4,17,1997,2,4,2
15500000,1,3,1,1,37,7,10,17,1988,2,4,2
14286000,1,1,19,1,36,13,14,28,2022,2,1,1
13500000,1,1,13,1,32,11,6,28,2021,1,1,1
10975000,1,6,25,1,35,8,5,14,1977,2,1,1
16800000,1,1,13,1,43,18,7,28,2021,1,1,1
14300000,1,11,30,1,36,13,5,28,1997,1,1,1
11000000,1,3,4,1,30,6,4,5,1997,2,2,2
10999000,1,3,6,1,30,5,4,5,1962,2,1,1
6500000,2,2,3,1,22,9,1,6,1997,5,2,1
